,id,sentences
199,199,finger?
200,200,yay!
201,201,PART
202,202,that's such a DIRTY word.
203,203,oh its 14k
204,204,10-19-20sUser141... get outta my PM Box.. didnt ya hear!!!!
205,205,PART
206,206,JOIN
207,207,geeshhh
208,208,lol 10-19-20sUser6
209,209,PART
210,210,hes deaf
211,211,ppl here dont get it
212,212,"10-19-20sUser6,"
213,213,!hug 10-19-20sUser115
214,214,.ACTION watches 10-19-20sUser6 hug the stuffin' outta 10-19-20sUser115....
215,215,you can forward the pervs to me.
216,216,.ACTION hugs 10-19-20sUser6.
217,217,any girls wanna chat with 24/m
218,218,please behave baby boy.. I gottsa go now
219,219,"Only for the dirty minded, 10-19-20sUser121."
220,220,ima behave
221,221,yes 10-19-20sUser121??
222,222,PART
223,223,aww 10-19-20sUser6 have fun
224,224,forwads away from 10-19-20sUser121
225,225,i already wrote what i wanted you to read.
226,226,theres nobody here i wanna misbeahve with lol
227,227,JOIN
228,228,so read it.
229,229,thanks 10-19-20sUser7.. Im happy to have my fiance here!!
230,230,forwads?
231,231,JOIN
232,232,22/m/wa any ladies want to chat
233,233,can i talk to him!!
234,234,lol 10-19-20sUser121!!!
235,235,forwards too
236,236,lol
237,237,JOIN
238,238,ALL PErvs... redirect to 10-19-20sUser121's PM VBox!!!
239,239,PART
240,240,I'll take all that I can get.
241,241,JOIN
242,242,PART
243,243,who is he 10-19-20sUser6?
244,244,i hate it when my devotion to christianity is questioned.
245,245,10-19-20sUser121
246,246,who honey??
247,247,Depends
248,248,Hi all 31/m/CA
249,249,10-19-20sUser115 is having my babies 10-19-20sUser20
250,250,yep
251,251,lmao 10-19-20sUser7!!!
252,252,.ACTION laughs.
253,253,:)
254,254,PART
255,255,"your fiance, do you know his handle?"
256,256,On what kinda pervs your lookin for
257,257,"what, 10-19-20sUser92."
258,258,JOIN
259,259,little jerks & jerkettes
260,260,i love jesus more than ANYONE ELSE
261,261,lolololll serg!!!
262,262,handle?
263,263,oh well
264,264,beeehave
265,265,and he loves ME the most
266,266,i love myself
267,267,JOIN
268,268,lol 10-19-20sUser44 how do u know that
269,269,what?
270,270,jerkettes?? lmao
271,271,CO?
272,272,well if we have girls
273,273,i didnts say anithing wrong...
274,274,i can see it in his eyes
275,275,lol
276,276,10-19-20sUser20=fiance
277,277,Jerketts
278,278,lmao
279,279,wtf
280,280,yah I know honey!
281,281,JOIN
282,282,girl jerk kids
283,283,awwwwww
284,284,you guys type too much. shut the fuck up.
285,285,girl jerks??
286,286,.ACTION gives 10-19-20sUser68 a nice massage.
287,287,u shut the fuck up
288,288,PART
289,289,no i dont want daughters!!
290,290,ur annoying
291,291,.ACTION Now Playing - Cradle of Filth - A Gothic Romance (Red Roses For The Devil's Whore).
292,292,JOIN
293,293,i want daughters 10-19-20sUser115!
294,294,:(
295,295,10-19-20sUser30 = gettign cooler by the minute
296,296,what'd I miss?
297,297,lol
298,298,noo there too much work!
299,299,why not?? girls are nice honey!!!
300,300,10-19-20sUser116
301,301,PART
302,302,10-19-20sUser7
303,303,PART
304,304,there is not!
305,305,heyy 10-19-20sUser148
306,306,i hate you.
307,307,boys are naughtier
308,308,10-19-20sUser92.
309,309,JOIN
310,310,bye  10-19-20sUser148
311,311,Hmm
312,312,you I hate you say..
313,313,Guess what
314,314,PART
315,315,i hate you 10-19-20sUser121 fuck your ugly
316,316,JOIN
317,317,if i had a daughter she would regret me bein her dad
318,318,huh?
319,319,Hmm
320,320,PART
321,321,What?
322,322,aw 10-19-20sUser115 whys that
323,323,deep inside 10-19-20sUser121 wants what she hates
324,324,JOIN
325,325,ahahah 10-19-20sUser7!!
326,326,id put caution tape all around her
327,327,Your phone sexs is the best
328,328,---------> 27 M UK (pic in profile)
329,329,Lmfao
330,330,dr phil said so
331,331,I am ugly?
332,332,PART
333,333,wouldnt let her date
334,334,Isn't it? =-\
335,335,aww.
336,336,i feel bad now.
337,337,"10-19-20sUser7, try to arrange your words so they form coherent thoughts"
338,338,PART
339,339,.ACTION -sits in the corner-.
340,340,JOIN
341,341,phone 10-19-20sUser92?
342,342,hello 10-19-20sUser84
343,343,.ACTION sits with 10-19-20sUser92.
344,344,hmph.
345,345,i hate you 10-19-20sUser68. does that mean I want you?
346,346,10-19-20sUser6
347,347,hello room
348,348,lol 10-19-20sUser83
349,349,and this.. has been the grammar lesson of the day courtesy of: 10-19-20sUser84!
350,350,PART
351,351,JOIN
352,352,yes 10-19-20sUser115?
353,353,.ACTION pokes 10-19-20sUser116.
354,354,if your fiance is still here could i talk to him?
355,355,.ACTION counter pokes.
356,356,wait i didnt me phone you . . .  sheesh now im that phone perv guy
357,357,lets hope not 10-19-20sUser121
358,358,PART
359,359,yes 10-19-20sUser115!!!!
360,360,of course
361,361,lets
362,362,woohoo!
363,363,any girls wanna chat?  24/m
364,364,JOIN
365,365,I think I am the exception to the rule
366,366,he's in PM land now though
367,367,lol
368,368,ah ok
369,369,i wont bug em then
370,370,someone wanna find me a cheap flight to spain?
371,371,i need to go this summer.
372,372,im a HUGE phone perv
373,373,ok seriously who was the dumbass that signed kev fetterline a rap deal????
374,374,it's an emergency.
375,375,JOIN
376,376,Ug .. no shit?
377,377,il get u a cheap flight to hell:)
378,378,lmao
379,379,bbl maybe
380,380,PART
381,381,LOL
382,382,lol 10-19-20sUser7
383,383,"it was me, 10-19-20sUser83"
384,384,hahah 10-19-20sUser83!
385,385,8082653953
386,386,K-Fed got his ass kicked.. Lol
387,387,.ACTION laughs.
388,388,i got a first class ticket to hell
389,389,lol 10-19-20sUser7
390,390,JOIN
391,391,any texas girls in here?
392,392,anyone can be bought if theres enuff money 10-19-20sUser83:)
393,393,any guys have webcams?
394,394,.ACTION re-thinks liking 10-19-20sUser121.
395,395,JOIN
396,396,rethinks???
397,397,lmaoooo
398,398,"Aw, man."
399,399,whats up 10-19-20sUser155
400,400,i was only kidding.
401,401,lol
402,402,he's a douchebag.
403,403,Poor 10-19-20sUser121
404,404,i'm bored
405,405,love me.
406,406,pick me
407,407,choose me.
408,408,.ACTION is re-thinking the re-think .
409,409,10-19-20sUser6
410,410,nothing much u
411,411,(that was my meredith impression)
412,412,PART
413,413,PART
414,414,yes 10-19-20sUser92???
415,415,sits with 10-19-20sUser30
416,416,Cum to my shower.
417,417,lol 10-19-20sUser121
418,418,.ACTION 10-19-20sUser1370 watches his nads.
419,419,JOIN
420,420,asl
421,421,"not a lot, where u from"
422,422,choose me too funny
423,423,You can pick your friends.. And you can pick your nose.. But you can't pick your friends nose.
424,424,JOIN
425,425,.ACTION sticks his fingers in 10-19-20sUser7s face.
426,426,lmaooo 10-19-20sUser92!!!!!!
427,427,.ACTION 10-19-20sUser1370 watches ur nad with a stick.
428,428,ca u 10-19-20sUser23
429,429,ewwww
430,430,lol *sniffs*
431,431,ewwwwww
432,432,PART
433,433,10-19-20sUser115!
434,434,owww splinter
435,435,PART
436,436,JOIN
437,437,.ACTION licks 10-19-20sUser116's ear.
438,438,PART
439,439,ughhh
440,440,does anyone want to talk to me on the phone?  I don't charge
441,441,IL
442,442,.ACTION gagas.
443,443,.ACTION hangs head.
444,444,pm me for my phone number.
445,445,gags even
446,446,Lmfao 10-19-20sUser121
447,447,.ACTION licks 10-19-20sUser92's neck.
448,448,i do
449,449,.ACTION bites her lip.
450,450,Meep
451,451,.ACTION is resisting.
452,452,ur female right
453,453,lol 10-19-20sUser115
454,454,beeeeehave
455,455,Remember the LAst time you did that
456,456,.ACTION smirks innocently.
457,457,no 
458,458,go wash your hands now!
459,459,dude 10-19-20sUser92 gets around
460,460,jk
461,461,JOIN
462,462,1-900-anal-sex is 10-19-20sUser121's number
463,463,dang it. just as i predicted.  no one pm's me.
464,464,charge that is 1.99/min.
465,465,lol @ innocent
466,466,hahah
467,467,lol....
468,468,yeah
469,469,LOLOLOLLL 10-19-20sUser12
470,470,thats not nice
471,471,my neck
472,472,youasshole!
473,473,10-19-20sUser115 can i pm you?
474,474,is like
475,475,"no it's not 10-19-20sUser12, you shut yo mouth."
476,476,erm
477,477,free for 10-19-20sUser68
478,478,Lmfao
479,479,JOIN
480,480,.ACTION goes to wash his hands.
481,481,lmao 
482,482,:-o
483,483,I am innocent!
484,484,Lies.
485,485,lmao no 10-19-20sUser115
486,486,Check my record.
487,487,:)
488,488,Lol
489,489,lick em 10-19-20sUser7
490,490,10-19-20sUser23 how old r u
491,491,lol
492,492,Way to lie
493,493,mmhmm
494,494,10-19-20sUser20 is very polite!
495,495,calls 10-19-20sUser30
496,496,lmao
497,497,24  u
498,498,"yo 10-19-20sUser115, may i om y?"
499,499,.ACTION lix.
500,500,ummm
501,501,lol
502,502,LOL
503,503,22 
504,504,10-19-20sUser109 i dont cyber darlin 
505,505,"""youre dead to me""..."
506,506,why...
507,507,he is 10-19-20sUser6!
508,508,I'm more innocent than anyone on Death Row.
509,509,but i'll call you just in case youre not dead
510,510,hahaha
511,511,u got a good catch:)
512,512,.ACTION covers her neck.
513,513,are u mexican
514,514,to talk
515,515,what r u searching for?
516,516,he is notme!
517,517,ummm
518,518,why else darling?
519,519,lol
520,520,he wont bite ya 10-19-20sUser115!
521,521,yeah u 
522,522,ooo wait
523,523,yeah
524,524,PART
525,525,is he your fiance??
526,526,i'm going to bed now. iwant to have hot sexy dreams about 10-19-20sUser68
527,527,i do bite 10-19-20sUser6...
528,528,lmao@darling.. he's a guy!
529,529,.ACTION wishes someone would call cause I have free incoming call mins..
530,530,JOIN
531,531,yes
532,532,ditto 10-19-20sUser30 nite
533,533,lool
534,534,ya do.. i know that.. ;)
535,535,10-19-20sUser23 kina give it away
536,536,oo ooooook then
537,537,hey room
538,538,hey if he wants to call me darlin its ok
539,539,"yeah, so did 10-19-20sUser155"
540,540,PART
541,541,and he bites 10-19-20sUser115
542,542,not any more 10-19-20sUser115
543,543,lol
544,544,guys are idiots.
545,545,go ahead pm me baby
546,546,10-19-20sUser109 .. get the fuck outta my PM!
547,547,in case you girls didn't know.
548,548,thought y were a girl
549,549,JOIN
550,550,for all the early20s.
551,551,hahah@baby
552,552,what do u do in CA
553,553,.ACTION tears up the partial phone #.
554,554,10-19-20sUser109s in my pm too 10-19-20sUser6
555,555,any hot guys wanna chat 22-30
556,556,u wanna have have hot sext dreams about urself 10-19-20sUser68
557,557,piff so now you dont wanna talk to me
558,558,:-o
559,559,shows i didnt read the profile
560,560,thats so sexist
561,561,am a student u
562,562,dang 10-19-20sUser30
563,563,thats right
564,564,lazy ppl... dont read profiles
565,565,sounds kinda conceited to me
566,566,yes
567,567,PART
568,568,JOIN
569,569,thats mean!
570,570,fine
571,571,!hug 10-19-20sUser20
572,572,.ACTION watches 10-19-20sUser6 hug the stuffin' outta 10-19-20sUser20....
573,573,busy peolpe either
574,574,I work in construction
575,575,"okay, I'm off for a bit."
576,576,i dont wanna talk to you either!
577,577,to calm myself down.
578,578,busy busy
579,579,any one want to chat
580,580,a bit.
581,581,10-19-20sUser84.
582,582,.ACTION crosses arms.
583,583,later maybe...
584,584,geeshh... two kids fighting!
585,585,whats ur major
586,586,i probably sucks in summer too hot
587,587,I saw my name
588,588,was gonna dream about 10-19-20sUser30
589,589,PART
590,590,.ACTION sits down and eats chococake.
591,591,JOIN
592,592,ok lol
593,593,.ACTION hugs 10-19-20sUser20.
594,594,aw yum
595,595,child development
596,596,lol
597,597,i want cho-co-la-te.
598,598,10-19-20sUser121 how near kc ?
599,599,just cheaking 
600,600,PART
601,601,JOIN
602,602,PART
603,603,hell yeah
604,604,10-19-20sUser115 hes taken alright
605,605,near near?
606,606,:P
607,607,CHOCO CHOCO
608,608,good night all
609,609,.ACTION smax.
610,610,lmaoo 10-19-20sUser7
611,611,JOIN
612,612,haha
613,613,It's only three syllables
614,614, >:-> 
615,615,wow thats near
616,616,geeshh
617,617,cho-co-late
618,618,hehehe
619,619,sowwy ppl!
620,620,PART
621,621,piff so
622,622,sowwy VVil and 10-19-20sUser36!
623,623,JOIN
624,624,.ACTION kisses 10-19-20sUser68.
625,625,so! Mmm
626,626,PayPal has free credit alert to hep against identity theft now
627,627,wont do it again.. 
628,628,too hot in the summer and too cold in the winter
629,629,.ACTION hands 10-19-20sUser121 the new cell phone chocolate.
630,630,!smooch 10-19-20sUser30
631,631,".ACTION walks up to 10-19-20sUser30, runs their fingers thru the back of 10-19-20sUser30's hair, closes their eyes, and gently kisses 10-19-20sUser30 on the neck, Compliments of 10-19-20sUser68!."
632,632,wat did u do 10-19-20sUser6?
633,633,woohoo paypal
634,634,yeah?
635,635,i typed choco in caps..lol
636,636,PART
637,637,sowwy
638,638,JOIN
639,639,PART
640,640,"umm, 10-19-20sUser83)"
641,641,PART
642,642,lol
643,643,!pounce 10-19-20sUser165
644,644,.ACTION watches 10-19-20sUser6 jump up and pounce 10-19-20sUser165... mmm I missed you baby!.
645,645,*spank*
646,646,you're not supposed to be here you're over your 20s.
647,647,good pay makes it better
648,648,yes
649,649,PART
650,650,that red color bit my eye man...
651,651,.ACTION video tapes.
652,652,hey 10-19-20sUser20
653,653,Im blind now
654,654,.ACTION has left the room.
655,655,hey este - 10-19-20sUser115- spank dat as -will
656,656,PART
657,657,hahah 10-19-20sUser121
658,658,hey 10-19-20sUser165
659,659,funny.
660,660,Way to chase people out
661,661,lmao 10-19-20sUser83
662,662,PART
663,663,watch him 10-19-20sUser6
664,664,:P
665,665,ty 10-19-20sUser6
666,666,hey 10-19-20sUser6
667,667,PART
668,668,very bored any guys wana chat to a chik from aussie (i mean chat aswell) 
669,669,lol 10-19-20sUser7
670,670,PART
671,671,"u got that right, i dont do shit, im the supervisor"
672,672,Hello 10-19-20sUser165.
673,673,hey 10-19-20sUser165 how's u?
674,674,.ACTION has left the room with 10-19-20sUser83.
675,675,your fiance is ignoring me 10-19-20sUser6
676,676,JOIN
677,677,lol 10-19-20sUser115...
678,678,what list should i put him in??
679,679,you wish
680,680,honey.. cmon
681,681,hi 10-19-20sUser128
682,682,nice
683,683,JOIN
684,684,not the special list cuz he ignored you
685,685,PART
686,686,hey 10-19-20sUser64
687,687,"put him in the ""untouchable"" list 10-19-20sUser115"
688,688,im good 10-19-20sUser6
689,689,lmao 10-19-20sUser7
690,690,how r u 10-19-20sUser128
691,691,hehe
692,692,hows bout u
693,693,good to hear 10-19-20sUser165
694,694,no 10-19-20sUser6 knows i have 2 lists
695,695,JOIN
696,696,--------------------27 M London .. any girls who enjoys roleplay ..whisper me
697,697,good and urself 
698,698,PART
699,699,JOIN
700,700,wats are they?
701,701,PART
702,702,yes.. 2 lists
703,703,great ty
704,704,piff i aint tellin you
705,705,u know the u of I right fighting illin
706,706,10-19-30sUser11 lol
707,707,lol 10-19-30sUser11
708,708,wb 10-19-30sUser9
709,709,thank you vm
710,710,lol
711,711,i had to shut the tv off... too much noise about nothing but stupid political ads... good grief
712,712,PART
713,713,JOIN
714,714,wb 10-19-30sUser15
715,715,JOIN
716,716,yeah i lost connection
717,717,so 10-19-30sUser11 how was youer day
718,718,its election season
719,719,ooo a scorpion
720,720,like always 10-19-30sUser7 and yours
721,721,same
722,722,well i was off of work today
723,723,what did u do 10-19-30sUser11
724,724,Uhh Ahh..............................Boyz II Men
725,725,scorpions rock... lol
726,726,what is ur job
727,727,me too 10-19-30sUser11
728,728,hehe
729,729,"went to manhattan and back, boght some stuff then came back home"
730,730,PART
731,731,what stuff 10-19-30sUser11? 
732,732,they can be vindictive
733,733,earrings and a coat
734,734,but nice people
735,735,seriously 10-19-30sUser2? lol
736,736,you read too many horror scopes
737,737,lol
738,738,nice 10-19-30sUser11
739,739,i am horrified
740,740,hehe
741,741,lmao 10-19-30sUser2
742,742,10-19-30sUser2 even
743,743,JOIN
744,744,well i am going talk later
745,745,byb
746,746,bye
747,747,Hey everyone!
748,748,nite 10-19-30sUser15
749,749,welcome 10-19-30sUser17
750,750,bye 10-19-30sUser15
751,751,Hey 10-19-30sUser9
752,752,what's the flavour of the day 10-19-30sUser9
753,753,i had a very intersting blueberry martini today... first time... liked it... 
754,754,see u all laterssss
755,755,What kind of consultant are you....I'm a financial consultant
756,756,byeeee
757,757,nite 10-19-30sUser7
758,758,bye 10-19-30sUser7
759,759,gonna eat dinner
760,760,PART
761,761,biz 10-19-30sUser17... 
762,762,Looking Through Patient Eyes.....PM Dawn   (last song of the evening-LIVE)
763,763,cool...is biz going good?
764,764,nite 10-19-30sUser7
765,765,mauh!!!!!!!!!!!!!!!!
766,766,nite mike
767,767,i keep makin' $$ for others so it must be 10-19-30sUser17... lol
768,768,10-19-30sUser11 sup girl?
769,769,me too...always seem to pick the right stocks for everyone else but me....lol
770,770,Hi 10-19-30sUser4
771,771,don't take your own advice? lol
772,772,don't be your own client
773,773,you'll suffer
774,774,JOIN
775,775,lmao
776,776,I do...just always 2 days too late (after I finish meeting with all my clients)
777,777,hi room
778,778,hey 10-19-30sUser18.. welcome
779,779,hi 10-19-30sUser9
780,780,mango is my fav
781,781,JOIN
782,782,thank you
783,783,PART
784,784,shaken or stirred 10-19-30sUser18?
785,785,hi 10-19-30sUser19
786,786,hey 10-19-30sUser18
787,787,good ques 10-19-30sUser17
788,788,always shakin'... lol
789,789,strong!
790,790,lmao 10-19-30sUser18
791,791,strait up
792,792,lol
793,793,JOIN
794,794,shakin
795,795,that's the way I like it 
796,796,oh ya
797,797,<sorry dont drink
798,798,its k
799,799,<is a smoker
800,800,me too
801,801,trying to quit
802,802,10-19-30sUser9...what's your preference?
803,803,<always 4.20 at my house
804,804,ya
805,805,PART
806,806,i like mine shook over ice
807,807,why so mad 10-19-30sUser19
808,808,<cali farmer
809,809,hmmmmmmm\
810,810,harvest good this year
811,811,brb
812,812,NICK :10-19-30sUser10
813,813,whoa
814,814,hb 10-19-30sUser2
815,815,i have teenagers
816,816,finally 10-19-30sUser10
817,817,lol
818,818,ha i have one
819,819,i have 2
820,820,"18,   16"
821,821,what's the latest?
822,822,boys
823,823,oh ny gosh
824,824,"8,6 girls"
825,825,my
826,826,that is ruff
827,827,so what are we talkin' about tonight?
828,828,PART
829,829,you're choice 10-19-30sUser17
830,830,mango martinis and teens
831,831,lol 10-19-30sUser18
832,832,hey 10-19-30sUser9...you married?
833,833,lol
834,834,"hell no, u?"
835,835,"sex, drugs and rock n roll"
836,836,PART
837,837,lol 10-19-30sUser19
838,838,wooooohoooo
839,839,with an answer like that...nope....lol
840,840,ha
841,841,maybe not the drugs
842,842,the rest i can do
843,843,or the rock and roll....definitley the sex....lol
844,844,yeppers
845,845,ya drugs r bad
846,846,i sing for the ladies
847,847,oh no 10-19-30sUser19 are you from texas?
848,848,any kids 10-19-30sUser9....
849,849,no mame
850,850,"nada again 10-19-30sUser17, u?"
851,851,<cali guy here
852,852,mikeeeeeeeeeeeeeeeeeeeeeeeeee
853,853,ok
854,854,see my nic
855,855,little boy
856,856,ya 
857,857,that's cool... kids are cool
858,858,JOIN
859,859,welcome 10-19-30sUser21
860,860,adults are cooler.....lol
861,861,i chatted with someone recently from texas who said yeppers alot
862,862,hi
863,863,JOIN
864,864,yea my 18 year old plays in my band
865,865,hi all
866,866,hi 10-19-30sUser21
867,867,JOIN
868,868,hey u550436035
869,869,NICK :10-19-30sUser10
870,870,i c
871,871,hi all 
872,872,hey 10-19-30sUser23 hun
873,873,hi 10-19-30sUser9
874,874,hi 10-19-30sUser23
875,875,yea its pretty cool
876,876,nice to see you here
877,877,hey everyone
878,878,so how do you unwind 10-19-30sUser9?
879,879,hi 
880,880,i'm doin' it now 10-19-30sUser17
881,881,the hair would suggest you party hard.....lol
882,882,what type of music does your band play
883,883,the hair?
884,884,yep
885,885,yeah I'm ready to party
886,886,hey 10-19-30sUser9?
887,887,what you do for fun
888,888,she's doin it....lol
889,889,not a loaded quistion
890,890,10-19-30sUser23
891,891,I'm flattered really!
892,892,with one hand
893,893,what 10-19-30sUser11
894,894,JOIN
895,895,hi 10-19-30sUser24
896,896,"gentlemen...let""s be nce...there are ladies in the room...."
897,897,really 10-19-30sUser17??? geeze
898,898,I meant nothing by my comments
899,899,ae you sexy?
900,900,PART
901,901,are
902,902,how are you 10-19-30sUser23
903,903,no kidding if we be dumb asses they wont chat with ya
904,904,ok i guess
905,905,lmao 10-19-30sUser19
906,906,go figure
907,907, :-) 
908,908,Finally someone figured out women...thanks 10-19-30sUser19
909,909,<tries to watch his manners
910,910,damn 10-19-30sUser17... 
911,911,lol
912,912,no problem
913,913, ;-) 
914,914,what was I thinking...orgy all around!!!!....lol
915,915,orgy?
916,916,lol
917,917,lmao... wow... 
918,918,what one word can do for some people...easy there 10-19-30sUser3...lol
919,919,lol
920,920,to funny
921,921,PART
922,922,JOIN
923,923,but getting back to the orgy......
924,924,10-19-30sUser25
925,925,lmao 10-19-30sUser17
926,926,10-19-30sUser3
927,927,10-19-30sUser25
928,928,whats up 
929,929,10-19-30sUser11
930,930,no
931,931,bye
932,932,me too........10-19-30sUser9
933,933,PART
934,934,lets play naked twister
935,935,.ACTION passes a drink to all in the room and a margarita for 10-19-30sUser11 .
936,936,cyber twister... how novel
937,937,ty 10-19-30sUser25 hun
938,938,10-19-30sUser9 all around
939,939,lol
940,940,thanks 10-19-30sUser25... right on
941,941,no cheating now
942,942,PART
943,943,JOIN
944,944,oppsss lol 
945,945,JOIN
946,946,lol 10-19-30sUser25... wb
947,947,0
948,948,10-19-30sUser25 if I were you I would ask for a better nickname
949,949,hi 10-19-30sUser25
950,950,wrong damn button again lol 
951,951,PART
952,952,bye 10-19-30sUser21
953,953,hey 10-19-30sUser26... out of the pm please
954,954,it is all good 10-19-30sUser17 call me what u like just not late for date or dinner lol 
955,955,lol
956,956,lol 10-19-30sUser25
957,957,10-19-30sUser9 seems to know all the right buttons to push;-)
958,958,PART
959,959,lose the fantasy 10-19-30sUser17... lol
960,960,.ACTION is 10-19-30sUser10
961,961,i thought my name was shit head for a long time
962,962,.ACTION WOW! You said shit.. .
963,963,lost it years ago...
964,964,oooooooooooooonnnnnnnnnnnneeeeeeeeeeeeeeesssssssss 
965,965,ooopppps
966,966,did not see u there baby 
967,967,sucks being you then huh? j/k :)
968,968,JOIN
969,969,hey 10-19-30sUser27... welcome
970,970,Hi!!
971,971,PART
972,972,JOIN
973,973,What's happening?
974,974,why'd 10-19-30sUser19 leave?
975,975,not sure
